metric,validation_mode,level,ticker,strategy,windows,wins,win_rate_pct,average_metric
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,fixed_weekly_dca,39,18,46.15,16.9028
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,simple_dip_buy,39,11,28.21,16.7497
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,risk_adjusted_v2,39,2,5.13,16.8605
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,hybrid_70_30,39,0,0.0,16.8651
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,hybrid_80_20,39,0,0.0,16.881
return_on_contributed_pct,true_weekly_contribution,ticker,AAPL,trend_aware_hybrid,39,13,33.33,16.899
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,fixed_weekly_dca,39,13,33.33,21.6603
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,simple_dip_buy,39,20,51.28,21.3567
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,risk_adjusted_v2,39,1,2.56,21.0638
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,hybrid_70_30,39,0,0.0,21.5744
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,hybrid_80_20,39,0,0.0,21.6049
return_on_contributed_pct,true_weekly_contribution,ticker,ASML,trend_aware_hybrid,39,6,15.38,21.6485
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,fixed_weekly_dca,39,4,10.26,9.1395
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,simple_dip_buy,39,23,58.97,9.3592
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,risk_adjusted_v2,39,12,30.77,9.3597
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,hybrid_70_30,39,0,0.0,9.2059
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,hybrid_80_20,39,0,0.0,9.1833
return_on_contributed_pct,true_weekly_contribution,ticker,BYDDY,trend_aware_hybrid,39,0,0.0,9.1323
return_on_contributed_pct,true_weekly_contribution,ticker,KO,fixed_weekly_dca,39,22,56.41,6.3992
return_on_contributed_pct,true_weekly_contribution,ticker,KO,simple_dip_buy,39,18,46.15,6.3797
return_on_contributed_pct,true_weekly_contribution,ticker,KO,risk_adjusted_v2,39,4,10.26,6.3879
return_on_contributed_pct,true_weekly_contribution,ticker,KO,hybrid_70_30,39,4,10.26,6.3956
return_on_contributed_pct,true_weekly_contribution,ticker,KO,hybrid_80_20,39,7,17.95,6.3964
return_on_contributed_pct,true_weekly_contribution,ticker,KO,trend_aware_hybrid,39,7,17.95,6.3946
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,fixed_weekly_dca,39,16,41.03,14.12
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,simple_dip_buy,39,11,28.21,13.8849
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,risk_adjusted_v2,39,4,10.26,14.0777
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,hybrid_70_30,39,1,2.56,14.0544
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,hybrid_80_20,39,0,0.0,14.0782
return_on_contributed_pct,true_weekly_contribution,ticker,MSFT,trend_aware_hybrid,39,12,30.77,14.1138
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,fixed_weekly_dca,39,19,48.72,119.0364
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,simple_dip_buy,39,3,7.69,110.84
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,risk_adjusted_v2,39,2,5.13,105.9792
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,hybrid_70_30,39,0,0.0,116.6241
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,hybrid_80_20,39,0,0.0,117.4508
return_on_contributed_pct,true_weekly_contribution,ticker,NVDA,trend_aware_hybrid,39,15,38.46,118.8256
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,fixed_weekly_dca,39,21,53.85,31.2108
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,simple_dip_buy,39,6,15.38,29.7621
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,risk_adjusted_v2,39,1,2.56,28.9554
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,hybrid_70_30,39,0,0.0,30.7869
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,hybrid_80_20,39,0,0.0,30.9331
return_on_contributed_pct,true_weekly_contribution,portfolio,all_symbols,trend_aware_hybrid,39,12,30.77,31.1692
calmar_ratio,true_weekly_contribution,ticker,AAPL,fixed_weekly_dca,39,1,2.56,1.3716
calmar_ratio,true_weekly_contribution,ticker,AAPL,simple_dip_buy,39,36,92.31,1.4122
calmar_ratio,true_weekly_contribution,ticker,AAPL,risk_adjusted_v2,39,1,2.56,1.3763
calmar_ratio,true_weekly_contribution,ticker,AAPL,hybrid_70_30,39,0,0.0,1.3828
calmar_ratio,true_weekly_contribution,ticker,AAPL,hybrid_80_20,39,0,0.0,1.3788
calmar_ratio,true_weekly_contribution,ticker,AAPL,trend_aware_hybrid,39,1,2.56,1.3737
calmar_ratio,true_weekly_contribution,ticker,ASML,fixed_weekly_dca,39,4,10.26,1.1944
calmar_ratio,true_weekly_contribution,ticker,ASML,simple_dip_buy,39,28,71.79,1.2131
calmar_ratio,true_weekly_contribution,ticker,ASML,risk_adjusted_v2,39,6,15.38,1.2246
calmar_ratio,true_weekly_contribution,ticker,ASML,hybrid_70_30,39,1,2.56,1.1997
calmar_ratio,true_weekly_contribution,ticker,ASML,hybrid_80_20,39,1,2.56,1.1979
calmar_ratio,true_weekly_contribution,ticker,ASML,trend_aware_hybrid,39,1,2.56,1.1925
calmar_ratio,true_weekly_contribution,ticker,BYDDY,fixed_weekly_dca,39,4,10.26,0.3471
calmar_ratio,true_weekly_contribution,ticker,BYDDY,simple_dip_buy,39,27,69.23,0.3651
calmar_ratio,true_weekly_contribution,ticker,BYDDY,risk_adjusted_v2,39,10,25.64,0.3463
calmar_ratio,true_weekly_contribution,ticker,BYDDY,hybrid_70_30,39,2,5.13,0.3524
calmar_ratio,true_weekly_contribution,ticker,BYDDY,hybrid_80_20,39,1,2.56,0.3505
calmar_ratio,true_weekly_contribution,ticker,BYDDY,trend_aware_hybrid,39,2,5.13,0.3461
calmar_ratio,true_weekly_contribution,ticker,KO,fixed_weekly_dca,39,7,17.95,3.201
calmar_ratio,true_weekly_contribution,ticker,KO,simple_dip_buy,39,35,89.74,3.8243
calmar_ratio,true_weekly_contribution,ticker,KO,risk_adjusted_v2,39,0,0.0,3.2683
calmar_ratio,true_weekly_contribution,ticker,KO,hybrid_70_30,39,3,7.69,3.3447
calmar_ratio,true_weekly_contribution,ticker,KO,hybrid_80_20,39,3,7.69,3.2882
calmar_ratio,true_weekly_contribution,ticker,KO,trend_aware_hybrid,39,1,2.56,3.2573
calmar_ratio,true_weekly_contribution,ticker,MSFT,fixed_weekly_dca,39,4,10.26,1.9678
calmar_ratio,true_weekly_contribution,ticker,MSFT,simple_dip_buy,39,31,79.49,2.0388
calmar_ratio,true_weekly_contribution,ticker,MSFT,risk_adjusted_v2,39,3,7.69,1.9714
calmar_ratio,true_weekly_contribution,ticker,MSFT,hybrid_70_30,39,1,2.56,1.9868
calmar_ratio,true_weekly_contribution,ticker,MSFT,hybrid_80_20,39,2,5.13,1.9798
calmar_ratio,true_weekly_contribution,ticker,MSFT,trend_aware_hybrid,39,0,0.0,1.9694
calmar_ratio,true_weekly_contribution,ticker,NVDA,fixed_weekly_dca,39,11,28.21,3.1859
calmar_ratio,true_weekly_contribution,ticker,NVDA,simple_dip_buy,39,11,28.21,3.1934
calmar_ratio,true_weekly_contribution,ticker,NVDA,risk_adjusted_v2,39,9,23.08,3.3119
calmar_ratio,true_weekly_contribution,ticker,NVDA,hybrid_70_30,39,1,2.56,3.1866
calmar_ratio,true_weekly_contribution,ticker,NVDA,hybrid_80_20,39,1,2.56,3.1859
calmar_ratio,true_weekly_contribution,ticker,NVDA,trend_aware_hybrid,39,9,23.08,3.1923
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,fixed_weekly_dca,39,7,17.95,3.0927
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,simple_dip_buy,39,27,69.23,3.2181
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,risk_adjusted_v2,39,3,7.69,3.1607
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,hybrid_70_30,39,0,0.0,3.1242
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,hybrid_80_20,39,0,0.0,3.1126
calmar_ratio,true_weekly_contribution,portfolio,all_symbols,trend_aware_hybrid,39,5,12.82,3.0951
