ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,sma_10_distance,sma_20_distance,rsi_14,macd,macd_signal,macd_histogram
UNH,2026-06-12,408.519989,0.02265499,0.03724764,0.48234695,0.04725136,0.0,370.326001,326.1869995,0.10313612,0.2524104,67.38962654,20.18253381,8.09590643,12.08662737
AVGO,2026-06-12,382.070007,-0.00948851,-0.10141347,0.23045955,0.0784711,0.14481721,410.603003,366.3000016,-0.06949047,0.04305216,52.71134164,22.09883941,20.35870386,1.74013555
DE,2026-06-12,577.47998,-0.01021531,0.02785533,0.03171172,0.03902715,0.12831894,570.428009,578.99300535,0.0123626,-0.0026132,54.94367117,12.63459354,17.38881652,-4.75422297
AMD,2026-06-12,511.570007,0.09689524,0.20624853,1.54095267,0.10835094,0.00877731,407.2630021,306.6060013,0.25611707,0.66849313,75.15969299,76.59425616,51.86259359,24.73166257
AMZN,2026-06-12,238.550003,-0.03040278,-0.09688048,0.1615621,0.05749054,0.125165,257.9550035,234.17150195,-0.0752263,0.01869784,49.84062614,9.12830386,7.82715569,1.30114817
HON,2026-06-12,220.309998,0.02963031,0.0331551,-0.00537247,0.0492917,0.09697915,222.0679992,227.9689994,-0.0079165,-0.03359668,50.0793267,2.14057913,3.7282208,-1.58764167
GOOGL,2026-06-12,359.679993,-0.02401434,-0.09350271,0.19495014,0.06083401,0.1025948,367.8109955,337.16699675,-0.02210647,0.06677106,59.00890614,25.2050688,24.17271738,1.03235143
NVDA,2026-06-12,205.190002,0.00043879,-0.08933963,0.18812974,0.04867717,0.08933963,207.4310012,193.81750175,-0.01080359,0.05867633,56.24253847,8.70245055,7.52567158,1.17677897
BYDDY,2026-06-12,11.03,-0.02042629,-0.09441708,-0.14826255,0.04920087,0.33124497,12.444,12.416,-0.11362906,-0.11163015,37.96184553,-0.39446432,-0.23403537,-0.16042895
MSFT,2026-06-12,390.73999,-0.06223156,-0.07390032,0.02322779,0.0618523,0.25446948,414.5980009,404.26549975,-0.05754493,-0.033457,41.57906729,-10.65062284,-14.81022161,4.15959877
AAPL,2026-06-12,291.130005,-0.05274286,-0.03031011,0.17395862,0.02714236,0.06707041,289.4810059,273.8620018,0.0056964,0.06305367,58.52367511,12.67472655,9.39135465,3.2833719
TM,2026-06-12,174.949997,-0.01247464,-0.08249421,-0.14666865,0.04056361,0.29538039,191.8220002,208.4154999,-0.08795656,-0.16057108,33.27999906,-8.09670081,-3.57032055,-4.52638027
GE,2026-06-12,335.299988,0.02225606,0.19099204,0.16914808,0.04938064,0.02307562,305.2170014,307.7205018,0.09856262,0.08962512,60.36845733,5.7405561,3.18754982,2.55300628
QCOM,2026-06-12,211.720001,-0.01954247,0.05077173,0.62986921,0.11332502,0.15656124,192.7540008,164.5865005,0.09839485,0.28637525,60.62837211,17.79650681,8.41736001,9.3791468
NKE,2026-06-12,44.93,0.04536994,0.0728271,-0.14206605,0.06204846,0.42676701,44.2569997,50.8964997,0.01520664,-0.11722809,38.07908482,-5.3553221,-5.35217771,-0.00314439
BAC,2026-06-12,56.02,0.04068359,0.12557766,0.18787108,0.03547757,0.00902174,52.6070002,51.5055003,0.06487729,0.08765083,60.09478953,0.56557786,0.18655918,0.37901868
KO,2026-06-12,82.620003,0.03950679,0.02227175,0.10528432,0.01992352,0.0,79.0250007,78.28649975,0.04549196,0.05535441,65.21904054,2.17919863,1.98562141,0.19357722
HD,2026-06-12,328.390015,0.05666393,0.10379484,0.02381922,0.03956136,0.22309491,323.0850068,340.2795029,0.01641985,-0.03494036,45.6633353,-14.35488678,-13.49734254,-0.85754424
SBUX,2026-06-12,103.040001,0.08133067,-0.03538662,0.11334411,0.04959959,0.03538662,101.3520005,98.10449995,0.01665483,0.05030861,56.47143334,2.95280013,2.95600799,-0.00320786
TCEHY,2026-06-12,59.060001,0.03705004,0.00630434,-0.06992124,0.03530605,0.31730436,59.9649999,63.64449995,-0.01509212,-0.07203292,38.47337865,-4.39860839,-3.87229404,-0.52631435
CAT,2026-06-12,910.570007,0.00695579,0.02505883,0.33734285,0.03426125,0.0,866.2140014,789.5430022,0.05120675,0.15328741,77.18556231,83.82184036,78.74973764,5.07210272
V,2026-06-12,322.390015,-0.00364679,-0.01031461,0.06886155,0.02676845,0.1016273,320.4570007,316.77949835,0.00603206,0.01771111,49.51074197,-2.02825588,-4.39479724,2.36654135
PEP,2026-06-12,144.270004,0.01655867,-0.03252408,-0.03845634,0.02201084,0.15379201,151.2270003,155.82050005,-0.04600367,-0.07412693,42.58156801,-1.23709606,0.83596219,-2.07305825
JPM,2026-06-12,320.720001,0.02673114,0.07692825,0.11920716,0.02851242,0.02572982,307.9600007,302.9225007,0.04143395,0.05875265,57.92987739,2.22287532,0.91849707,1.30437825
WMT,2026-06-12,121.040001,0.01816962,-0.07919358,0.01697197,0.03308223,0.09597429,125.3609986,125.33899845,-0.03446844,-0.03429896,50.28873116,2.26360183,4.0693232,-1.80572137
JNJ,2026-06-12,240.869995,0.03479826,0.06245859,0.02336746,0.0272792,0.0304311,230.8670013,235.5529998,0.04332795,0.02257239,61.13025963,6.4850709,8.49155573,-2.00648484
MA,2026-06-12,489.980011,-0.00223991,-0.00853905,-0.01277401,0.02067618,0.18194872,498.2850037,506.33450005,-0.01666715,-0.03229977,39.67395184,-14.18583693,-14.4196383,0.23380137
COST,2026-06-12,982.349976,0.01078332,-0.06349204,0.0103051,0.02823712,0.06349204,1001.7729919,997.56799315,-0.01938864,-0.01525512,50.06334598,10.82308634,15.71723236,-4.89414603
INTC,2026-06-12,124.57,0.25612587,0.14526067,1.83952594,0.14656856,0.00280178,100.4989994,73.25649985,0.23951483,0.70046344,71.27036343,20.77039478,15.90443362,4.86596116
AXP,2026-06-12,325.440002,0.04757612,0.03815232,0.1013198,0.03233114,0.1493099,317.2809998,318.28099825,0.02571538,0.02249271,50.7568338,-5.84710661,-6.67310742,0.82600081
MU,2026-06-12,981.609985,0.13610951,0.35458011,1.32113975,0.15083618,0.0,695.3679992,547.91199945,0.41164101,0.79154679,78.62856881,160.0113781,112.61875952,47.39261859
MRK,2026-06-12,119.050003,-0.01440515,0.06886341,0.04265198,0.03985968,0.03852364,116.8280007,117.7025006,0.01901943,0.01144838,58.13615706,4.1724721,4.8977161,-0.725244
MCD,2026-06-12,284.809998,0.01776016,0.03046414,-0.07783716,0.02256447,0.16492699,288.1299988,304.8869996,-0.01152258,-0.06585063,39.58641176,-8.60156239,-5.40444626,-3.19711613
PG,2026-06-12,149.610001,0.02094997,0.05679165,0.03694207,0.01628718,0.10520333,145.9669984,149.65249945,0.02495771,-0.00028398,51.59041788,-1.57239272,-1.71762062,0.1452279
TSM,2026-06-15,441.399994,0.04120964,0.0911698,0.35092124,0.03633711,0.0,409.0130004,379.66399995,0.07918329,0.16260692,76.28817512,32.23980346,29.09521534,3.14458813
ASML,2026-06-15,1892.660034,0.01562072,0.15907894,0.45313142,0.0642689,0.0,1608.1960206,1493.7725098,0.17688392,0.26703365,76.51472278,162.11456178,132.14120653,29.97335525
META,2026-06-15,593.47998,0.04673886,-0.02749653,0.12888993,0.06347597,0.24419597,619.2419982,618.9879974,-0.0416025,-0.04120923,45.469544,-16.43306843,-14.09399394,-2.33907449
BABA,2026-06-15,112.550003,-0.00239317,-0.13423075,-0.08264731,0.05231957,0.40142529,128.1629998,132.9454999,-0.12182141,-0.15341247,35.60255734,-7.71243817,-5.46809143,-2.24434674
